Frequency (Hz)	Level (dB)
1138.568115	-56.318230
1141.259766	-59.891624
1143.951416	-63.724758
1146.643066	-71.049850
1149.334717	-71.823364
1152.026367	-67.666534
1154.718018	-70.575356
1157.409668	-67.134041
1160.101318	-63.119774
1162.792969	-60.338299
1165.484619	-59.414703
1168.176270	-62.848534
1170.867920	-61.890594
1173.559570	-70.190971
1176.251221	-69.875534
1178.942871	-69.803391
1181.634521	-65.789642
1184.326172	-63.344326
1187.017822	-68.003662
1189.709473	-78.527618
1192.401123	-72.503563
1195.092773	-79.402313
1197.784424	-74.054070
1200.476074	-69.626602
1203.167725	-63.167995
1205.859375	-64.071373
1208.551025	-72.703827
1211.242676	-71.432762
1213.934326	-69.735260
1216.625977	-72.573891
1219.317627	-71.893211
1222.009277	-69.713417
1224.700928	-68.195511
1227.392578	-65.140190
1230.084229	-66.867470
1232.775879	-71.928169
1235.467529	-68.637741
1238.159180	-67.266457
1240.850830	-69.979721
1243.542480	-66.890778
1246.234131	-66.697342
1248.925781	-75.983795
1251.617432	-66.329300
1254.309082	-65.447777
1257.000732	-70.453117
1259.692383	-72.235474
1262.384033	-74.040421
1265.075684	-70.207848
1267.767334	-66.256401
1270.458984	-67.120270
1273.150635	-72.738823
1275.842285	-75.697319
1278.533936	-68.124496
1281.225586	-69.881401
1283.917236	-72.579033
1286.608887	-71.676476
1289.300537	-70.620735
1291.992188	-67.390144
1294.683838	-70.805946
1297.375488	-73.088516
1300.067139	-68.725555
1302.758789	-61.523724
1305.450439	-69.701851
1308.142090	-65.538246
1310.833740	-62.784981
1313.525391	-67.201790
1316.217041	-73.638268
1318.908691	-71.146980
1321.600342	-77.724403
1324.291992	-73.077545
1326.983643	-66.711044
1329.675293	-67.772789
1332.366943	-68.526421
1335.058594	-72.174301
1337.750244	-75.889351
1340.441895	-73.808540
1343.133545	-72.280312
1345.825195	-72.153473
1348.516846	-71.004768
1351.208496	-71.861794
1353.900146	-70.788460
1356.591797	-68.944168
1359.283447	-78.556328
1361.975098	-68.445908
1364.666748	-65.706718
1367.358398	-72.282364
1370.050049	-75.375771
1372.741699	-76.674767
1375.433350	-72.218224
1378.125000	-71.892868
1380.816650	-73.034096
1383.508301	-68.118629
1386.199951	-69.052551
1388.891602	-73.731743
1391.583252	-78.950424
1394.274902	-78.712875
1396.966553	-72.284882
1399.658203	-71.976593
1402.349854	-71.583405
1405.041504	-70.328812
1407.733154	-69.963142
1410.424805	-69.571686
1413.116455	-69.123062
1415.808105	-74.087814
1418.499756	-67.319923
1421.191406	-68.478195
1423.883057	-75.105286
1426.574707	-70.603172
1429.266357	-65.720680
1431.958008	-67.317535
1434.649658	-66.480743
1437.341309	-65.764664
1440.032959	-67.509285
1442.724609	-72.050591
1445.416260	-71.526070
1448.107910	-73.124214
1450.799561	-75.704712
1453.491211	-72.193008
1456.182861	-72.228981
1458.874512	-78.973991
1461.566162	-72.538620
1464.257812	-68.454170
1466.949463	-70.207047
1469.641113	-71.391945
1472.332764	-69.674385
1475.024414	-76.466331
1477.716064	-79.872063
1480.407715	-74.490074
1483.099365	-72.133217
1485.791016	-73.563141
1488.482666	-76.544441
1491.174316	-81.297173
1493.865967	-74.231979
1496.557617	-71.535927
1499.249268	-70.422562
1501.940918	-71.552223
1504.632568	-75.418144
1507.324219	-66.978241
1510.015869	-66.537468
1512.707520	-70.098106
1515.399170	-61.432865
1518.090820	-59.342857
1520.782471	-63.386692
1523.474121	-63.558064
1526.165771	-65.615829
1528.857422	-64.950424
1531.549072	-69.160332
1534.240723	-70.868797
1536.932373	-68.736214
1539.624023	-67.203384
1542.315674	-67.219147
1545.007324	-70.355621
1547.698975	-69.405006
1550.390625	-66.828690
